name,company,year,price,kms_driven,fuel_type,,
COROLLA GLI,TOYOTA,2022,2714000,0,PETROL,, 
COROLLA ALTIS,TOYOTA,2022,3637000,0,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2022,4330000,0,PETROL,,
YARIS 1.3 AT,TOYOTA,2022,3020000,0,PETROL,,
YARIS 1.3 MT,TOYOTA,2022,2847000,0,PETROL,,
YARIS 1.5 AT,TOYOTA,2022,3275000,0,PETROL,,
YARIS 1.5 MT,TOYOTA,2022,3071000,0,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2022,10748000,0,PETROL,,
FORTUNER 2.7,TOYOTA,2022,8938000,0,PETROL,,
REVO G MT,TOYOTA,2022,7490000,0,DIESEL,,
REVO G AT,TOYOTA,2022,7854000,0,DIESEL,,
REVO V AT,TOYOTA,2022,8592000,0,DIESEL,,
CITY 1.3 MT,HONDA,2022,,0,PETROL,,
CITY 1.3 AT,HONDA,2022,,0,PETROL,,
CITY 1.5 MT,HONDA,2022,3388000,0,PETROL,,
CITY 1.5 ASPIRE,HONDA,2022,3562000,0,PETROL,,
CIVIC 1.8 UG,HONDA,2022,4233000,0,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2022,4519000,0,PETROL,,
CIVIC 1.5 TURBO,HONDA,2022,5269000,0,PETROL,,
BRV IVTEC MT,HONDA,2022,,0,PETROL,,
BRV IVTEC CVT,HONDA,2022,,0,PETROL,,
BRV IVTEC S CVT,HONDA,2022,3778000,0,PETROL,,
ALTO VX,SUZUKI,2022,1312000,0,PETROL,,
ALTO VXR,SUZUKI,2022,1548000,0,PETROL,,
ALTO VXR AGS,SUZUKI,2022,1746000,0,PETROL,,
CULTUS VXR,SUZUKI,2022,1963000,0,PETROL,,
CULTUS VXL,SUZUKI,2022,2166000,0,PETROL,,
CULTUS AGS,SUZUKI,2022,2335000,0,PETROL,,
CIAZ 1.4 AT,SUZUKI,2022,,0,PETROL,,
CIAZ 1.4 MT,SUZUKI,2022,,0,PETROL,,
ELANTRA GLS ,HYUNDAI,2022,4309000,0,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2022,,0,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2022,5515000,0,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2022,6064000,0,PETROL,,
PICANTO 1.0 AT,KIA,2022,2218000,0,PETROL,,
PICANTO 1.0 MT,KIA,2022,2117000,0,PETROL,,
SPORTAGE ALPHA,KIA,2022,4955000,0,PETROL,,
SPORTAGE AWD,KIA,2022,5467000,0,PETROL,,
SPORTAGE FWD,KIA,2022,5977000,0,PETROL,,
SORENTO 2.4 FWD,KIA,2022,7294000,0,PETROL,,
SORENTO 2.4 AWD,KIA,2022,8289000,0,PETROL,,
SORENTO 3.5 FWD,KIA,2022,9054000,0,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2725000,9600,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5900000,11500,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,4600,PETROL,,
